job_id,job_title,location,skills,description
1,Frontend Developer,Remote,"TypeScript,React,JavaScript,HTML",Great opportunity for a Frontend Developer
2,Frontend Developer,Remote,"Next.js,JavaScript,CSS,React",Great opportunity for a Frontend Developer
3,Frontend Developer,Remote,"Next.js,JavaScript,TypeScript,React,HTML",Great opportunity for a Frontend Developer
4,Frontend Developer,Remote,"JavaScript,TypeScript,React,Next.js",Great opportunity for a Frontend Developer
5,Full Stack Developer,Remote,"Python,HTML,CSS",Great opportunity for a Full Stack Developer
6,Full Stack Developer,Remote,"CSS,Node.js,Python",Great opportunity for a Full Stack Developer
7,Full Stack Developer,Remote,"CSS,React,Python",Great opportunity for a Full Stack Developer
8,Backend Developer,Remote,"FastAPI,Node.js,Docker,PostgreSQL,MongoDB",Great opportunity for a Backend Developer
9,Backend Developer,Remote,"PostgreSQL,MongoDB,SQL",Great opportunity for a Backend Developer
10,Backend Developer,Remote,"MongoDB,Python,Docker",Great opportunity for a Backend Developer
11,Full Stack Developer,Remote,"Docker,HTML,JavaScript,Python,React",Great opportunity for a Full Stack Developer
12,Frontend Developer,Remote,"CSS,JavaScript,Next.js",Great opportunity for a Frontend Developer
13,Frontend Developer,Remote,"React,TypeScript,HTML,CSS",Great opportunity for a Frontend Developer
14,Backend Developer,Remote,"PostgreSQL,MongoDB,SQL,FastAPI,Node.js",Great opportunity for a Backend Developer
15,Backend Developer,Remote,"FastAPI,PostgreSQL,Python,Node.js",Great opportunity for a Backend Developer
16,Full Stack Developer,Remote,"React,HTML,SQL",Great opportunity for a Full Stack Developer
17,Backend Developer,Remote,"Node.js,FastAPI,Docker",Great opportunity for a Backend Developer
18,Backend Developer,Remote,"SQL,Docker,FastAPI,MongoDB,PostgreSQL",Great opportunity for a Backend Developer
19,Backend Developer,Remote,"MongoDB,PostgreSQL,FastAPI,SQL,Docker",Great opportunity for a Backend Developer
20,Frontend Developer,Remote,"JavaScript,React,CSS,Next.js",Great opportunity for a Frontend Developer
21,Backend Developer,Remote,"Docker,SQL,FastAPI,MongoDB",Great opportunity for a Backend Developer
22,Frontend Developer,Remote,"TypeScript,Next.js,HTML,CSS,React",Great opportunity for a Frontend Developer
23,Frontend Developer,Remote,"TypeScript,React,CSS",Great opportunity for a Frontend Developer
24,Backend Developer,Remote,"MongoDB,FastAPI,Docker",Great opportunity for a Backend Developer
25,Backend Developer,Remote,"Python,Docker,SQL",Great opportunity for a Backend Developer
26,Frontend Developer,Remote,"React,Next.js,CSS,HTML",Great opportunity for a Frontend Developer
27,Frontend Developer,Remote,"HTML,React,CSS,JavaScript",Great opportunity for a Frontend Developer
28,Frontend Developer,Remote,"HTML,TypeScript,Next.js,CSS",Great opportunity for a Frontend Developer
29,Backend Developer,Remote,"Python,PostgreSQL,SQL,MongoDB",Great opportunity for a Backend Developer
30,Full Stack Developer,Remote,"React,CSS,Python,Docker",Great opportunity for a Full Stack Developer
31,Full Stack Developer,Remote,"JavaScript,React,Python",Great opportunity for a Full Stack Developer
32,Frontend Developer,Remote,"CSS,Next.js,HTML,TypeScript",Great opportunity for a Frontend Developer
33,Backend Developer,Remote,"Python,Node.js,FastAPI,Docker",Great opportunity for a Backend Developer
34,Full Stack Developer,Remote,"Python,HTML,Docker",Great opportunity for a Full Stack Developer
35,Backend Developer,Remote,"MongoDB,Node.js,FastAPI",Great opportunity for a Backend Developer
36,Backend Developer,Remote,"MongoDB,Docker,Python",Great opportunity for a Backend Developer
37,Full Stack Developer,Remote,"SQL,JavaScript,Python,HTML",Great opportunity for a Full Stack Developer
38,Full Stack Developer,Remote,"HTML,CSS,SQL",Great opportunity for a Full Stack Developer
39,Backend Developer,Remote,"Python,FastAPI,Docker,PostgreSQL,MongoDB",Great opportunity for a Backend Developer
40,Frontend Developer,Remote,"Next.js,CSS,React,HTML,TypeScript",Great opportunity for a Frontend Developer
